participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10013,Malaysia,magnitude,7 | 2,5,TRUE,congruent,0.6839,-0.16500739626697014
10013,Malaysia,magnitude,2 | 7,5,TRUE,congruent,0.6846,-0.16456310519814174
10013,Malaysia,magnitude,7 | 6,1,TRUE,neutral,1.0344,0.014688511872337618
10013,Malaysia,magnitude,1 | 3,2,TRUE,neutral,0.7507,-0.1245335841336144
10013,Malaysia,magnitude,6 | 8,2,TRUE,congruent,1.0843,0.03514945777346285
10013,Malaysia,magnitude,9 | 4,5,TRUE,incongruent,0.6997,-0.1550881260878594
10013,Malaysia,magnitude,3 | 1,2,TRUE,neutral,0.9011,-0.045227010310282895
10013,Malaysia,magnitude,2 | 1,1,TRUE,congruent,0.8339,-0.07888602616331936
10013,Malaysia,magnitude,4 | 9,5,TRUE,incongruent,0.8452,-0.07304051161972426
10013,Malaysia,magnitude,8 | 9,1,TRUE,congruent,3.0837,0.4890721207790608
10013,Malaysia,magnitude,6 | 7,1,TRUE,neutral,0.917,-0.03763066432997889
10013,Malaysia,magnitude,7 | 9,2,TRUE,congruent,1.2834,0.10836203495517166
10013,Malaysia,magnitude,7 | 2,5,FALSE,incongruent,1.0837,0.03490907336774825
10013,Malaysia,magnitude,1 | 3,2,FALSE,incongruent,2.2008,0.3425805773816271
10013,Malaysia,magnitude,7 | 2,5,TRUE,neutral,0.7177,-0.14405705376768396
10013,Malaysia,magnitude,6 | 1,5,TRUE,congruent,0.8173,-0.08761850108119966
10013,Malaysia,magnitude,6 | 8,2,TRUE,neutral,1.7006,0.23060217474053113
10013,Malaysia,magnitude,1 | 6,5,FALSE,incongruent,1.0852,0.035509785089558474
10013,Malaysia,magnitude,9 | 4,5,FALSE,neutral,1.0171,0.007363654312278314
10013,Malaysia,magnitude,2 | 7,5,FALSE,incongruent,0.5838,-0.23373590934800448
10013,Malaysia,magnitude,8 | 3,5,TRUE,congruent,0.6675,-0.1755487299633872
10013,Malaysia,magnitude,2 | 1,1,TRUE,neutral,0.9003,-0.04561274985548494
10013,Malaysia,magnitude,9 | 8,1,TRUE,congruent,0.5506,-0.25916379294268854
10013,Malaysia,magnitude,3 | 4,1,FALSE,incongruent,0.6175,-0.20936303806829662
10013,Malaysia,magnitude,8 | 9,1,FALSE,neutral,1.1332,0.05430656584839958
10013,Malaysia,magnitude,7 | 9,2,TRUE,neutral,0.5844,-0.2332897927377408
10013,Malaysia,magnitude,6 | 7,1,TRUE,congruent,0.9668,-0.014663358264387244
10013,Malaysia,magnitude,8 | 9,1,FALSE,incongruent,0.6335,-0.1982533807805399
10013,Malaysia,magnitude,4 | 3,1,FALSE,neutral,1.2508,0.09718787257089559
10013,Malaysia,magnitude,2 | 4,2,TRUE,neutral,1.9673,0.2938705919528998
10013,Malaysia,magnitude,2 | 4,2,TRUE,congruent,0.54990000000000006,-0.25971628031812083
10013,Malaysia,magnitude,4 | 2,2,TRUE,congruent,0.65,-0.18708664335714442
10013,Malaysia,magnitude,4 | 2,2,TRUE,neutral,0.4336,-0.3629107264696695
10013,Malaysia,magnitude,3 | 8,5,TRUE,congruent,0.5668,-0.24657015842457722
